id,nodes,wp_id,taskspernode,tasks,threadspertask,logger,cmerge,write_time_sum[s],write_time_mean[s],write_time_std[s],open_time[s],close_time[s],real_time[s]
4,128,1,1,128,64,SIONLIB,False,0.6205,0.0040,0.0010,0.9995,51.4488,58.3950
4,256,2,1,256,64,SIONLIB,False,0.6272,0.0040,0.0010,1.0950,50.9392,57.9810
4,512,3,1,512,64,SIONLIB,False,0.6295,0.0040,0.0010,1.4584,51.3942,58.3810
4,1024,4,1,1024,64,SIONLIB,False,0.6301,0.0040,0.0010,1.6610,57.5958,64.8460
4,2048,5,1,2048,64,SIONLIB,False,0.6326,0.0040,0.0010,2.5467,55.2417,63.6010
5,128,1,1,128,64,SIONLIB_BUFFERED,False,0.0049,0.0000,0.0001,1.0066,44.2841,50.6690
5,256,2,1,256,64,SIONLIB_BUFFERED,False,0.0049,0.0000,0.0001,1.1459,52.6138,59.1600
5,512,3,1,512,64,SIONLIB_BUFFERED,False,0.0049,0.0000,0.0001,1.4716,56.5683,62.8660
5,1024,4,1,1024,64,SIONLIB_BUFFERED,False,0.0049,0.0000,0.0001,1.7859,55.2507,61.9310
5,2048,5,1,2048,64,SIONLIB_BUFFERED,False,0.0051,0.0000,0.0001,2.7902,63.7683,71.6330
7,128,7,1,128,64,SIONLIB_COLLECTIVE,False,470.8950,2.8265,0.2160,18.8084,3.9529,498.8860
7,256,8,1,256,64,SIONLIB_COLLECTIVE,False,470.5780,2.8211,0.2085,19.4677,3.9700,498.9000
7,512,9,1,512,64,SIONLIB_COLLECTIVE,False,472.4070,2.8200,0.2120,19.0895,4.0097,500.3970
7,1024,10,1,1024,64,SIONLIB_COLLECTIVE,False,472.8710,2.8159,0.2104,19.5858,4.1738,501.3490
7,2048,11,1,2048,64,SIONLIB_COLLECTIVE,False,474.2870,2.8204,0.2158,20.5848,4.2337,503.8510
7,128,2,1,128,64,SIONLIB_COLLECTIVE,True,13.1035,0.0784,0.0061,1.4737,0.8066,20.7830
7,256,3,1,256,64,SIONLIB_COLLECTIVE,True,13.1764,0.0789,0.0058,1.5572,0.8994,20.8870
7,512,4,1,512,64,SIONLIB_COLLECTIVE,True,13.2532,0.0792,0.0062,1.8481,0.9030,20.8480
7,1024,5,1,1024,64,SIONLIB_COLLECTIVE,True,13.1341,0.0785,0.0065,2.3680,0.9096,21.5840
7,2048,6,1,2048,64,SIONLIB_COLLECTIVE,True,13.2663,0.0791,0.0065,3.5827,0.9206,22.9090
8,128,1,1,128,64,ASCII,False,0.6469,0.0036,0.0019,26.7882,3.4066,37.7020
8,128,2,1,128,64,ASCII,False,0.6221,0.0036,0.0019,26.9165,3.4342,38.4000
8,128,3,1,128,64,ASCII,False,0.6323,0.0036,0.0020,21.7658,3.4341,32.6710
8,256,4,1,256,64,ASCII,False,0.7496,0.0039,0.0037,49.0959,3.4229,61.2020
8,256,5,1,256,64,ASCII,False,0.7859,0.0038,0.0033,633.5420,3.4102,645.2960
8,256,6,1,256,64,ASCII,False,0.9787,0.0038,0.0035,622.1310,3.3472,633.8430
8,512,8,1,512,64,ASCII,False,1.5871,0.0055,0.0224,47.6898,3.1694,59.4580
8,512,9,1,512,64,ASCII,False,1.8312,0.0050,0.0168,173.5830,3.3391,185.5180
8,512,7,1,512,64,ASCII,False,1.4831,0.0044,0.0087,374.8820,3.4720,386.9610
8,1024,10,1,1024,64,ASCII,False,1.6326,0.0048,0.0138,336.7730,3.6799,349.4160
8,1024,11,1,1024,64,ASCII,False,1.7035,0.0044,0.0089,342.8860,3.1303,356.3230
8,1024,12,1,1024,64,ASCII,False,1.2864,0.0041,0.0053,526.2410,3.9888,538.2860
8,2048,13,1,2048,64,ASCII,False,2.4559,0.0044,0.0085,638.0050,2.8192,650.8930
8,2048,14,1,2048,64,ASCII,False,1.1342,0.0042,0.0063,552.9290,3.6162,565.6050
8,2048,15,1,2048,64,ASCII,False,1.7304,0.0061,0.0286,74.5148,3.9898,87.8230

